Port. Index,Instrument,Deal No.,ISIN,Initial Inv Date,Maturity Date,Coupon,Maturity Value ,YTM,Yield,Market value,Duration,,,
AFS,T Bond,1672327,LKB00827A151,15-Nov-23,15-Jan-27,11.40%,"80,555,000.00",15.4,8.35,"209,619,928.31",0.90137,,,
AFS,T Bond,1672343,LKB00827A151,15-Nov-23,15-Jan-27,11.40%,"2,277,187.00",15.22,8.35,"209,619,928.31",0.90137,,,
AFS,T Bond,1682305,LKB00827A151,1-Dec-23,15-Jan-27,11.40%,"19,290,213.00",14.48,8.35,"209,619,928.31",0.90137,,,
AFS,T Bond,1678634,LKB00827A151,28-Nov-23,15-Jan-27,11.40%,"100,000,000.00",14.4,8.35,"209,619,928.31",0.90137,,,
,,,,,,,"202,122,400.00",,,,,,,
,,,,,,,,,,,,,,
AFS,T Bond,2034307,LKB00529J154,15-May-25,15-Oct-29,10.35%,"6,933,143.00",10.22,9.5,760106213.7,3.652055,,,
AFS,T Bond,2034305,LKB00529J154,15-May-25,15-Oct-29,10.35%,"37,054,000.00",10.22,9.5,760106213.7,3.652055,,,
AFS,T Bond,2153880,LKB00529J154,10-Oct-25,15-Oct-29,10.35%,"3,840,000.00",9.73,9.5,760106213.7,3.652055,,,
AFS,T Bond,2239982,LKB00529J154,26-Jan-26,15-Oct-29,10.35%,"100,000,000.00",9.6,9.5,760106213.7,3.652055,,,
AFS,T Bond,2174157,LKB00529J154,7-Nov-25,15-Oct-29,10.35%,"250,000,000.00",9.55,9.5,760106213.7,3.652055,,,
AFS,T Bond,2079472,LKB00529J154,15-Jul-25,15-Oct-29,10.35%,"77,143,000.00",9.51,9.5,760106213.7,3.652055,,,
AFS,T Bond,2079463,LKB00529J154,15-Jul-25,15-Oct-29,10.35%,"200,000,000.00",9.49,9.5,760106213.7,3.652055,,,
AFS,T Bond,2069972,LKB00529J154,1-Jul-25,15-Oct-29,10.35%,"31,308,000.00",9.44,9.5,760106213.7,3.652055,,,
AFS,T Bond,2071809,LKB00529J154,1-Jul-25,15-Oct-29,10.35%,"40,918,750.00",9.41,9.5,760106213.7,3.652055,,,
,,,,,,,"747,196,893.00",,,,,,,
,,,,,,,,,,,,,,
AFS,T Bond,2246300,LKB00934F154,2-Feb-26,15-Jun-34,10.75%,"250,000,000.00",11.05,10.65,960742600,8.320548,,,
AFS,T Bond,2246295,LKB00934F154,2-Feb-26,15-Jun-34,10.75%,"200,000,000.00",10.97,10.65,960742600,8.320548,,,
AFS,T Bond,2246297,LKB00934F154,2-Feb-26,15-Jun-34,10.75%,"250,000,000.00",10.99,10.65,960742600,8.320548,,,
AFS,T Bond,2246299,LKB00934F154,2-Feb-26,15-Jun-34,10.75%,"250,000,000.00",11.01,10.65,960742600,8.320548,,,
,,,,,,,"950,000,000.00",,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
